Date	Open	High	Low	Close	Volume	Date
2002/01/01	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/01
2002/01/02	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/02
2002/01/03	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/03
2002/01/04	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/04
2002/01/07	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/07
2002/01/08	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/08
2002/01/09	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/09
2002/01/10	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/10
2002/01/11	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/11
2002/01/14	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/14
2002/01/15	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/15
2002/01/16	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/16
2002/01/17	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/17
2002/01/18	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/18
2002/01/21	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/21
2002/01/22	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/22
2002/01/23	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/23
2002/01/24	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/24
2002/01/25	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/25
2002/01/28	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/28
2002/01/29	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/29
2002/01/30	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/30
2002/01/31	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/01/31
2002/02/01	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/01
2002/02/04	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/04
2002/02/05	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/05
2002/02/06	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/06
2002/02/07	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/07
2002/02/08	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/08
2002/02/11	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/11
2002/02/12	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/12
2002/02/13	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/13
2002/02/14	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/14
2002/02/15	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/15
2002/02/18	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/18
2002/02/19	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/19
2002/02/20	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/20
2002/02/21	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/21
2002/02/22	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/22
2002/02/25	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/25
2002/02/26	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/26
2002/02/27	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/27
2002/02/28	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/02/28
2002/03/01	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/01
2002/03/04	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/04
2002/03/05	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/05
2002/03/06	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/06
2002/03/07	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/07
2002/03/08	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/08
2002/03/11	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/11
2002/03/12	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/12
2002/03/13	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/13
2002/03/14	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/14
2002/03/15	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/15
2002/03/18	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/18
2002/03/19	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/19
2002/03/20	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/20
2002/03/21	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/21
2002/03/22	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/22
2002/03/25	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/25
2002/03/26	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/26
2002/03/27	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/27
2002/03/28	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/28
2002/03/29	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/03/29
2002/04/01	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/01
2002/04/02	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/02
2002/04/03	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/03
2002/04/04	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/04
2002/04/05	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/05
2002/04/08	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/08
2002/04/09	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/09
2002/04/10	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/10
2002/04/11	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/11
2002/04/12	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/12
2002/04/15	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/15
2002/04/16	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/16
2002/04/17	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/17
2002/04/18	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/18
2002/04/19	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/19
2002/04/22	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/22
2002/04/23	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/23
2002/04/24	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/24
2002/04/25	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/25
2002/04/26	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/26
2002/04/29	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/29
2002/04/30	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/04/30
2002/05/01	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/01
2002/05/02	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/02
2002/05/03	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/03
2002/05/06	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/06
2002/05/07	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/07
2002/05/08	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/08
2002/05/09	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/09
2002/05/10	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/10
2002/05/13	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/13
2002/05/14	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/14
2002/05/15	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/15
2002/05/16	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/16
2002/05/17	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/17
2002/05/20	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/20
2002/05/21	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/21
2002/05/22	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/22
2002/05/23	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/23
2002/05/24	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/24
2002/05/27	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/27
2002/05/28	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/28
2002/05/29	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/29
2002/05/30	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/30
2002/05/31	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/05/31
2002/06/03	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/06/03
2002/06/04	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/06/04
2002/06/05	1.017262578010559	1.017262578010559	1.017262578010559	1.017262578010559	0	2002/06/05
